id,name,platform,year,genre,publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,img,info
0,The Incredibles / Finding Nemo,GBA,2007,Action,THQ,1.26,0.47,0,0.03,1.76,,
1,Hitman: Absolution,X360,2012,Action,Square Enix,0.68,0.9,0.01,0.17,1.76,games/image/Hitman.jpg,games/text/Hitman.txt
2,BioShock Infinite,PS3,2013,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76,,
3,State of Emergency,PS2,2002,Action,Take-Two Interactive,0.86,0.67,0,0.22,1.76,,
4,Tom Clancy's Ghost Recon,XB,2002,Shooter,Ubisoft,1.23,0.46,0,0.07,1.76,,
5,Def Jam: Fight for NY,PS2,2004,Fighting,Electronic Arts,0.86,0.67,0,0.22,1.76,,
6,Kid Icarus,NES,1986,Platform,Nintendo,0.53,0.12,1.09,0.02,1.76,,
7,Sonic the Hedgehog 3,GEN,1994,Platform,Sega,1.02,0.47,0.2,0.07,1.76,games/image/Golden.jpg,games/text/Golden.txt
8,Golden Sun,GBA,2001,Role-Playing,Nintendo,0.93,0.38,0.4,0.06,1.76,,
9,The SpongeBob SquarePants Movie,PS2,2004,Platform,THQ,1.06,0.54,0,0.16,1.76,,
10,WWF Attitude,PS,1998,Fighting,Acclaim Entertainment,1.27,0.42,0,0.07,1.76,,
11,Metroid II: Return of Samus,GB,1991,Adventure,Nintendo,0.85,0.31,0.56,0.04,1.76,,
12,UFC 2009 Undisputed,PS3,2009,Fighting,THQ,1.07,0.45,0.01,0.24,1.77,,
13,Dead or Alive 3,XB,2001,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,,
14,Final Fantasy II,SNES,1991,Role-Playing,Square,0.24,0.09,1.33,0.12,1.77,games/image/FinalFantasy.jpg,games/text/FinalFantasy.txt
15,Kirby 64: The Crystal Shards,N64,2000,Platform,Nintendo,0.63,0.06,1.03,0.04,1.77,,
16,Madden NFL 25,PS3,2013,Sports,Electronic Arts,1.59,0.03,0,0.15,1.77,,
17,Wii Party U,WiiU,2013,Misc,Nintendo,0.31,0.54,0.84,0.08,1.77,,
18,High School Musical: Sing It!,Wii,2007,Misc,Disney Interactive Studios,1.16,0.45,0,0.16,1.77,,
19,50 Cent: Bulletproof,PS2,2005,Action,Vivendi Games,0.85,0.76,0,0.16,1.77,,
20,The Legend of Zelda: The Wind Waker,WiiU,2013,Action,Nintendo,0.93,0.57,0.14,0.13,1.77,,
21,Dragon's Dogma,PS3,2012,Role-Playing,Capcom,0.41,0.46,0.72,0.19,1.78,,
22,Just Cause 2,PS3,2010,Action,Square Enix,0.45,0.94,0.06,0.33,1.78,games/image/JustCause.jpg,games/text/JustCause.txt
